date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,15555.0,2588.0,12967.0,0.83,725.0,3254.0,4079.0,6359.0,0.28,4548.0,4.89,0.3
2015-03-01,17540.0,2613.0,14927.0,0.85,731.0,4081.0,5173.0,6404.0,0.21,5046.0,5.43,0.21
2016-03-01,20652.0,2468.0,18184.0,0.88,656.0,5086.0,6182.0,7572.0,0.21,5959.0,6.41,0.2
2017-03-01,25697.0,3247.0,22450.0,0.87,933.0,6204.0,7722.0,9457.0,0.21,7451.0,8.01,0.31
2018-03-01,29954.0,3993.0,25961.0,0.87,4065.0,7324.0,9231.0,13471.0,0.39,8204.0,8.82,0.33
2019-03-01,35059.0,8140.0,26920.0,0.77,1505.0,8737.0,10541.0,9147.0,-0.1,10034.0,10.79,0.43
2020-03-01,37744.0,4858.0,32886.0,0.87,2820.0,9509.0,11607.0,14590.0,0.24,11059.0,11.89,0.47
2021-03-01,39640.0,4734.0,34906.0,0.88,769.0,8135.0,12039.0,15501.0,0.22,12036.0,12.94,0.52
2022-03-01,41622.0,5796.0,35826.0,0.86,4692.0,8036.0,12872.0,19610.0,0.14,16824.0,18.09,0.61
2023-03-01,45603.0,6028.0,39576.0,0.87,1093.0,9634.0,13333.0,17702.0,0.13,15420.0,16.58,0.67
2024-03-01,45843.0,6599.0,39244.0,0.86,1138.0,8773.0,13095.0,18514.0,0.16,15573.0,16.74,0.67
2025-03-01,45792.0,6955.0,38837.0,0.85,2061.0,8700.0,12904.0,19294.0,0.2,15521.0,16.69,0.54
TTM,47343.0,8384.0,38958.0,0.82,2001.0,8576.0,12931.0,19453.0,0.0,15524.0,16.68,0.0
