date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,49479.0,29711.0,32852.0,-13084.0,-0.26,30085.0,719.0,16282.0,0.28,11677.0,17.38,0.24
2015-03-01,54964.0,32318.0,38766.0,-16120.0,-0.29,35252.0,798.0,18334.0,0.29,12942.0,19.2,0.24
2016-03-01,59294.0,33996.0,52252.0,-26955.0,-0.45,42102.0,843.0,14304.0,0.24,10927.0,15.92,0.29
2017-03-01,60940.0,34836.0,63841.0,-37737.0,-0.62,52458.0,912.0,13809.0,0.18,11340.0,15.9,0.14
2018-03-01,62162.0,34262.0,72806.0,-44906.0,-0.72,56807.0,922.0,10978.0,0.17,9100.0,12.0,0.12
2019-03-01,71982.0,39178.0,83775.0,-50971.0,-0.71,59325.0,946.0,7408.0,0.23,5689.0,6.6,0.15
2020-03-01,84836.0,44666.0,85361.0,-45190.0,-0.53,64950.0,1171.0,18589.0,0.4,11225.0,14.78,-0.0
2021-03-01,89163.0,42659.0,91309.0,-44805.0,-0.5,72174.0,1340.0,26028.0,0.22,20364.0,26.58,0.08
2022-03-01,95407.0,41167.0,80798.0,-26558.0,-0.28,62129.0,1330.0,34241.0,0.25,26538.0,36.14,0.14
2023-03-01,121067.0,50543.0,87864.0,-17341.0,-0.14,65112.0,1515.0,46256.0,0.26,35461.0,48.74,0.16
2024-03-01,159516.0,74108.0,99560.0,-14152.0,-0.09,76522.0,1935.0,60434.0,0.26,46081.0,63.02,0.16
2025-03-01,186331.0,89028.0,130078.0,-32775.0,-0.18,108255.0,2627.0,72854.0,0.25,54569.0,71.65,0.15
TTM,194012.0,90029.0,141798.0,-37815.0,-0.19,113241.0,0.0,75426.0,0.0,56609.0,74.19,0.0
