date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2016-03-01,11872.0,7355.0,4188.0,329.0,0.03,3297.0,157.0,3469.0,0.34,2287.0,38.43,0.12
2017-03-01,14406.0,8343.0,5684.0,379.0,0.03,4171.0,191.0,4360.0,0.34,2868.0,47.95,0.13
2018-03-01,17281.0,9783.0,6555.0,942.0,0.05,4750.0,212.0,5481.0,0.34,3606.0,60.08,0.12
2019-03-01,22261.0,13415.0,9284.0,-438.0,-0.02,5647.0,229.0,4980.0,0.34,3301.0,54.77,0.14
2020-03-01,28783.0,16724.0,12544.0,-485.0,-0.02,6953.0,291.0,6177.0,0.28,4458.0,64.28,-0.0
2021-03-01,29000.0,15472.0,15772.0,-2244.0,-0.08,6501.0,328.0,3929.0,0.25,2930.0,37.89,0.13
2022-03-01,30822.0,15822.0,15624.0,-623.0,-0.02,7408.0,352.0,6433.0,0.25,4805.0,62.03,0.14
2023-03-01,36368.0,18776.0,15425.0,2167.0,0.06,8173.0,407.0,9932.0,0.25,7444.0,95.93,0.15
2024-03-01,45748.0,25132.0,17569.0,3046.0,0.07,9396.0,463.0,11979.0,0.25,8977.0,115.34,0.14
2025-03-01,48668.0,29636.0,22664.0,-3632.0,-0.07,7690.0,532.0,3526.0,0.27,2576.0,33.06,-0.0
TTM,45879.0,29220.0,25499.0,-8840.0,-0.19,6224.0,0.0,-2616.0,0.0,-2034.0,-26.11,0.0
