date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,29234.0,24475.0,4759.0,0.16,792.0,41.0,296.0,5215.0,0.24,3956.0,18.24,0.71
2015-03-01,31972.0,26560.0,5412.0,0.17,1247.0,18.0,322.0,6320.0,0.31,4376.0,20.17,0.74
2016-03-01,32186.0,26276.0,5910.0,0.18,486.0,17.0,353.0,6026.0,0.31,4151.0,19.18,0.83
2017-03-01,33162.0,26834.0,6328.0,0.19,606.0,35.0,432.0,6467.0,0.31,4490.0,20.68,0.82
2018-03-01,35545.0,28046.0,7499.0,0.21,353.0,26.0,520.0,7306.0,0.28,5227.0,24.09,0.83
2019-03-01,39310.0,30430.0,8880.0,0.23,322.0,33.0,565.0,8604.0,0.3,6060.0,27.97,0.78
2020-03-01,39783.0,29922.0,9861.0,0.25,424.0,118.0,1002.0,9165.0,0.26,6756.0,31.17,0.8
2021-03-01,47028.0,35402.0,11626.0,0.25,170.0,117.0,1074.0,10605.0,0.25,7999.0,34.03,1.19
2022-03-01,52446.0,39589.0,12857.0,0.25,219.0,106.0,1091.0,11879.0,0.25,8892.0,37.79,0.9
2023-03-01,60580.0,46433.0,14147.0,0.23,448.0,114.0,1137.0,13344.0,0.24,10143.0,43.07,0.91
2024-03-01,61896.0,47237.0,14659.0,0.24,817.0,334.0,1216.0,13926.0,0.26,10282.0,43.74,0.96
2025-03-01,63121.0,48278.0,14843.0,0.24,1322.0,395.0,1355.0,14415.0,0.26,10671.0,45.32,1.17
TTM,64243.0,49487.0,14756.0,0.23,1316.0,448.0,1407.0,14217.0,0.0,10926.0,46.35,0.0
