date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,2934.0,2784.0,150.0,0.05,18.0,54.0,38.0,76.0,0.03,78.0,4.31,0.46
2015-03-01,3182.0,3014.0,168.0,0.05,-34.0,49.0,43.0,43.0,-0.18,54.0,3.01,0.83
2016-03-01,3798.0,3631.0,167.0,0.04,66.0,43.0,57.0,132.0,0.21,106.0,5.82,0.56
2017-03-01,4385.0,4162.0,223.0,0.05,34.0,38.0,61.0,159.0,0.23,123.0,6.44,0.58
2018-03-01,4639.0,4372.0,266.0,0.06,22.0,29.0,64.0,196.0,0.25,144.0,7.5,0.67
2019-03-01,5235.0,4887.0,348.0,0.07,26.0,48.0,75.0,251.0,0.17,190.0,9.87,0.51
2020-03-01,5360.0,5077.0,283.0,0.05,40.0,29.0,88.0,206.0,0.32,144.0,7.44,0.67
2021-03-01,4264.0,4024.0,240.0,0.06,65.0,65.0,92.0,148.0,0.32,101.0,5.21,0.38
2022-03-01,6064.0,5717.0,347.0,0.06,36.0,46.0,86.0,251.0,0.33,168.0,8.71,0.57
2023-03-01,7977.0,7478.0,500.0,0.06,195.0,55.0,85.0,555.0,0.28,401.0,20.79,0.29
2024-03-01,9685.0,9017.0,669.0,0.07,44.0,58.0,98.0,557.0,0.26,414.0,20.18,0.35
2025-03-01,11968.0,11089.0,879.0,0.07,83.0,49.0,128.0,785.0,0.25,591.0,28.75,0.31
TTM,12349.0,11469.0,880.0,0.07,6.0,68.0,166.0,652.0,0.0,494.0,24.04,0.0
