date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,2333.0,2343.0,-10.0,-0.0,91.0,26.0,54.0,1.0,13.57,-19.0,-0.56,-1.25
2015-03-01,2284.0,2196.0,88.0,0.04,208.0,22.0,75.0,200.0,0.35,129.0,3.89,0.26
2016-03-01,1686.0,1596.0,90.0,0.05,86.0,48.0,39.0,90.0,0.39,55.0,1.66,0.54
2017-03-01,1812.0,1679.0,134.0,0.07,81.0,46.0,41.0,128.0,0.34,85.0,2.55,0.39
2018-03-01,2157.0,1949.0,208.0,0.1,27.0,44.0,46.0,147.0,0.41,87.0,2.62,0.44
2019-03-01,2630.0,2390.0,241.0,0.09,30.0,51.0,52.0,168.0,0.44,95.0,2.92,0.45
2020-03-01,3486.0,2957.0,529.0,0.15,147.0,263.0,247.0,165.0,0.36,106.0,3.46,0.29
2021-03-01,2593.0,2479.0,114.0,0.04,199.0,261.0,257.0,-205.0,-0.12,-181.0,-4.11,-0.15
2022-03-01,4498.0,3903.0,595.0,0.13,152.0,325.0,311.0,111.0,0.69,35.0,2.98,0.57
2023-03-01,8242.0,7128.0,1114.0,0.14,341.0,409.0,494.0,552.0,0.29,394.0,12.51,0.18
2024-03-01,12375.0,10404.0,1971.0,0.16,989.0,368.0,671.0,1921.0,0.23,1477.0,41.82,0.08
2025-03-01,17135.0,14315.0,2820.0,0.16,305.0,200.0,895.0,2030.0,0.24,1534.0,43.51,0.11
TTM,19263.0,15867.0,3396.0,0.18,156.0,162.0,1257.0,2133.0,0.0,1620.0,46.06,0.0
