date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,6913.0,6286.0,627.0,0.09,34.0,8.0,83.0,569.0,0.3,395.0,16.48,0.36
2015-03-01,7858.0,6988.0,870.0,0.11,228.0,4.0,144.0,950.0,0.28,689.0,28.71,0.28
2016-03-01,8397.0,7174.0,1224.0,0.15,115.0,5.0,113.0,1220.0,0.32,825.0,34.36,0.29
2017-03-01,9054.0,7776.0,1278.0,0.14,151.0,5.0,119.0,1304.0,0.32,885.0,36.85,0.3
2018-03-01,9914.0,8413.0,1501.0,0.15,166.0,8.0,142.0,1518.0,0.34,1004.0,41.83,0.3
2019-03-01,11055.0,9322.0,1732.0,0.16,206.0,9.0,162.0,1768.0,0.35,1155.0,48.23,0.31
2020-03-01,11600.0,9756.0,1843.0,0.16,263.0,77.0,185.0,1844.0,0.24,1394.0,58.33,0.6
2021-03-01,13136.0,10627.0,2509.0,0.19,313.0,111.0,198.0,2514.0,0.26,1851.0,77.38,2.04
2022-03-01,14136.0,11935.0,2201.0,0.16,222.0,144.0,201.0,2078.0,0.27,1516.0,63.31,0.89
2023-03-01,16301.0,13470.0,2831.0,0.17,597.0,169.0,226.0,3033.0,0.24,2316.0,96.39,0.75
2024-03-01,16769.0,13603.0,3167.0,0.19,211.0,164.0,300.0,2913.0,0.27,2134.0,88.84,0.83
2025-03-01,17943.0,14766.0,3176.0,0.18,202.0,139.0,313.0,2927.0,0.26,2178.0,90.45,0.83
TTM,18865.0,15384.0,3481.0,0.18,232.0,125.0,333.0,3256.0,0.0,2416.0,100.27,0.0
