date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,54947.0,45564.0,9383.0,0.17,1157.0,5703.0,3223.0,1614.0,-0.64,2646.0,18.03,0.07
2015-03-01,64465.0,52015.0,12450.0,0.19,792.0,7056.0,3522.0,2663.0,0.14,2298.0,15.81,0.08
2016-03-01,34008.0,32325.0,1684.0,0.05,1044.0,1357.0,314.0,1056.0,0.07,1000.0,8.21,0.04
2017-03-01,36533.0,34631.0,1902.0,0.05,749.0,1257.0,315.0,1079.0,0.25,925.0,8.02,0.04
2018-03-01,35924.0,33886.0,2038.0,0.06,363.0,1250.0,664.0,487.0,0.23,594.0,6.15,0.06
2019-03-01,40379.0,38409.0,1969.0,0.05,504.0,1625.0,390.0,459.0,0.32,506.0,5.82,0.06
2020-03-01,43403.0,41108.0,2294.0,0.05,872.0,1572.0,472.0,1122.0,0.29,1040.0,9.24,0.1
2021-03-01,39537.0,37031.0,2506.0,0.06,494.0,1377.0,537.0,1086.0,0.31,1046.0,7.49,0.12
2022-03-01,69420.0,65707.0,3714.0,0.05,1012.0,2526.0,1248.0,952.0,0.5,788.0,6.3,0.14
2023-03-01,127540.0,118722.0,8818.0,0.07,834.0,3969.0,2436.0,3247.0,0.32,2422.0,19.3,0.06
2024-03-01,96421.0,85044.0,11377.0,0.12,1146.0,4555.0,3042.0,4926.0,0.33,3335.0,25.37,0.05
2025-03-01,97895.0,83643.0,14252.0,0.15,6403.0,5978.0,4211.0,10466.0,0.28,8005.0,55.02,0.02
TTM,94995.0,81027.0,13968.0,0.15,15524.0,6169.0,5268.0,18055.0,0.0,14132.0,103.69,0.0
