date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,87695.0,79671.0,8024.0,0.09,677.0,2702.0,3347.0,2653.0,0.2,2195.0,10.53,0.09
2015-03-01,104281.0,95437.0,8844.0,0.08,-832.0,4178.0,3493.0,340.0,0.75,259.0,4.14,0.24
2016-03-01,98759.0,90981.0,7778.0,0.08,1500.0,5134.0,4347.0,-203.0,2.45,-702.0,-1.21,-0.82
2017-03-01,100184.0,87867.0,12317.0,0.12,1198.0,5742.0,4457.0,3315.0,0.43,1882.0,8.47,0.13
2018-03-01,115183.0,101488.0,13695.0,0.12,2879.0,3911.0,4506.0,8157.0,0.25,6083.0,27.1,0.04
2019-03-01,130542.0,115031.0,15511.0,0.12,1127.0,3778.0,4777.0,8083.0,0.32,5495.0,24.48,0.05
2020-03-01,118144.0,103838.0,14306.0,0.12,906.0,4197.0,5091.0,5924.0,0.36,3767.0,16.77,0.06
2021-03-01,132008.0,114449.0,17559.0,0.13,-987.0,3738.0,6628.0,6206.0,0.44,3483.0,15.5,0.19
2022-03-01,195059.0,166712.0,28347.0,0.15,1253.0,3768.0,6729.0,19103.0,0.28,13730.0,61.1,0.06
2023-03-01,223202.0,200536.0,22666.0,0.1,1307.0,3646.0,7086.0,13241.0,0.24,10097.0,44.93,0.07
2024-03-01,215962.0,192090.0,23872.0,0.11,1519.0,3858.0,7521.0,14012.0,0.28,10155.0,45.19,0.08
2025-03-01,238496.0,206691.0,31805.0,0.13,1832.0,3419.0,7881.0,22337.0,0.28,16002.0,71.2,0.07
TTM,253570.0,220279.0,33291.0,0.13,2311.0,3248.0,8292.0,24062.0,0.0,17764.0,79.05,0.0
