date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,4357.0,3681.0,676.0,0.16,18.0,119.0,168.0,407.0,0.25,315.0,22.77,0.25
2015-03-01,5129.0,4392.0,737.0,0.14,47.0,118.0,212.0,455.0,0.29,335.0,24.43,0.24
2016-03-01,6150.0,5465.0,684.0,0.11,92.0,180.0,264.0,332.0,0.29,235.0,16.99,0.35
2017-03-01,7256.0,6522.0,734.0,0.1,60.0,257.0,314.0,222.0,0.41,131.0,15.88,0.38
2018-03-01,8243.0,7442.0,801.0,0.1,24.0,295.0,359.0,171.0,0.65,60.0,8.44,0.59
2019-03-01,9617.0,8548.0,1070.0,0.11,26.0,327.0,396.0,373.0,0.47,200.0,16.96,0.35
2020-03-01,11247.0,9656.0,1591.0,0.14,222.0,533.0,620.0,660.0,0.34,432.0,32.7,0.18
2021-03-01,10560.0,9420.0,1140.0,0.11,103.0,449.0,573.0,221.0,0.38,137.0,10.46,0.29
2022-03-01,14663.0,12474.0,2189.0,0.15,368.0,379.0,601.0,1578.0,0.3,1108.0,73.42,0.16
2023-03-01,16612.0,14548.0,2065.0,0.12,75.0,381.0,615.0,1144.0,0.22,844.0,56.97,0.26
2024-03-01,19059.0,16665.0,2394.0,0.13,123.0,449.0,687.0,1380.0,0.32,935.0,62.5,0.26
2025-03-01,21794.0,18761.0,3033.0,0.14,222.0,458.0,758.0,2039.0,0.26,1505.0,100.56,0.13
TTM,23265.0,19940.0,3324.0,0.14,256.0,442.0,828.0,2309.0,0.0,1729.0,116.28,0.0
