date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,70608.0,52842.0,17766.0,0.25,7169.0,59.0,1996.0,22880.0,0.34,15112.0,23.92,1.21
2015-03-01,74120.0,56777.0,17343.0,0.23,6570.0,9.0,2320.0,21584.0,0.36,13727.0,21.73,0.95
2016-03-01,77861.0,59147.0,18714.0,0.24,5939.0,388.0,2826.0,21440.0,0.33,14267.0,22.59,1.21
2017-03-01,78164.0,65716.0,12448.0,0.16,5316.0,410.0,2907.0,14446.0,0.36,9280.0,14.95,1.33
2018-03-01,85244.0,75956.0,9288.0,0.11,4975.0,430.0,3063.0,10770.0,0.35,7038.0,11.34,1.46
2019-03-01,99586.0,74579.0,25007.0,0.25,5834.0,264.0,3450.0,27127.0,0.36,17464.0,28.34,0.46
2020-03-01,96080.0,74500.0,21581.0,0.22,6444.0,503.0,3451.0,24071.0,0.31,16700.0,27.12,0.44
2021-03-01,90026.0,71398.0,18628.0,0.21,3742.0,642.0,3718.0,18009.0,0.29,12702.0,20.61,0.78
2022-03-01,109715.0,84995.0,24721.0,0.23,3866.0,541.0,4429.0,23616.0,0.26,17378.0,28.17,0.6
2023-03-01,138252.0,94020.0,44232.0,0.32,6560.0,684.0,6833.0,43275.0,0.27,31723.0,51.54,0.47
2024-03-01,144762.0,96791.0,47971.0,0.33,8396.0,819.0,6735.0,48813.0,0.23,37369.0,60.69,0.42
2025-03-01,143369.0,96305.0,47064.0,0.33,9932.0,884.0,9145.0,46966.0,0.25,35302.0,57.37,0.46
TTM,140712.0,97367.0,43345.0,0.31,10430.0,1019.0,10267.0,42489.0,0.0,31081.0,50.64,0.0
