date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,4830.0,1910.0,2919.0,0.6,685.0,977.0,649.0,1978.0,0.12,1741.0,8.4,0.12
2015-03-01,6152.0,2250.0,3902.0,0.63,686.0,1175.0,912.0,2501.0,0.07,2324.0,11.18,0.1
2016-03-01,7109.0,2532.0,4577.0,0.64,730.0,1124.0,1063.0,3119.0,0.09,2856.0,13.99,0.08
2017-03-01,8439.0,3021.0,5418.0,0.64,1037.0,1116.0,1160.0,4179.0,0.07,3902.0,18.89,0.07
2018-03-01,11323.0,4166.0,7157.0,0.63,844.0,1579.0,1188.0,5234.0,0.3,3690.0,17.74,0.11
2019-03-01,10925.0,4330.0,6596.0,0.6,1289.0,1385.0,1373.0,5126.0,0.21,4045.0,19.27,0.01
2020-03-01,11873.0,5926.0,5947.0,0.5,1928.0,1951.0,1680.0,4244.0,0.11,3785.0,18.52,0.17
2021-03-01,12550.0,3862.0,8688.0,0.69,1967.0,2255.0,2107.0,6292.0,0.2,5049.0,24.58,0.2
2022-03-01,17119.0,7591.0,9528.0,0.56,1832.0,2544.0,3099.0,5717.0,0.13,4953.0,23.13,0.22
2023-03-01,20852.0,9905.0,10947.0,0.52,327.0,2363.0,3425.0,5487.0,0.02,5391.0,24.58,0.2
2024-03-01,26711.0,11121.0,15589.0,0.58,671.0,2733.0,3888.0,9639.0,0.16,8104.0,37.55,0.16
2025-03-01,30475.0,12335.0,18141.0,0.6,1800.0,2532.0,4379.0,13030.0,0.15,11061.0,51.35,0.14
TTM,34746.0,14102.0,20643.0,0.59,1962.0,3707.0,4809.0,14090.0,0.0,11972.0,55.35,0.0
