date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,5029.0,4921.0,108.0,0.02,13.0,18.0,22.0,80.0,0.14,69.0,1.83,0.29
2015-03-01,3915.0,3771.0,144.0,0.04,42.0,20.0,23.0,142.0,0.21,112.0,3.1,0.24
2016-03-01,2212.0,2026.0,185.0,0.08,8.0,18.0,23.0,153.0,0.17,126.0,3.39,0.27
2017-03-01,3930.0,3727.0,204.0,0.05,6.0,16.0,24.0,169.0,0.21,133.0,3.57,0.29
2018-03-01,4791.0,4525.0,266.0,0.06,8.0,15.0,34.0,225.0,0.05,214.0,5.92,0.21
2019-03-01,5616.0,5245.0,371.0,0.07,8.0,26.0,51.0,302.0,0.17,252.0,6.63,0.21
2020-03-01,7183.0,6906.0,277.0,0.04,33.0,33.0,69.0,208.0,0.35,134.0,2.93,0.58
2021-03-01,3843.0,3456.0,388.0,0.1,37.0,17.0,72.0,336.0,0.26,249.0,6.36,0.31
2022-03-01,4631.0,4096.0,535.0,0.12,39.0,22.0,79.0,472.0,0.18,385.0,10.19,0.25
2023-03-01,8627.0,7955.0,672.0,0.08,187.0,88.0,126.0,645.0,0.21,511.0,13.19,0.44
2024-03-01,7046.0,6123.0,923.0,0.13,190.0,116.0,135.0,861.0,0.22,672.0,16.22,0.4
2025-03-01,6764.0,5666.0,1098.0,0.16,208.0,165.0,152.0,989.0,0.2,787.0,18.9,0.42
TTM,7425.0,6253.0,1172.0,0.16,284.0,161.0,172.0,1123.0,0.0,897.0,20.42,0.0
