date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2016-03-01,9701.0,7823.0,1878.0,0.19,623.0,13.0,386.0,2102.0,0.27,1534.0,488.42,0.17
2017-03-01,10435.0,8473.0,1963.0,0.19,912.0,27.0,456.0,2391.0,0.27,1740.0,570.17,0.29
2018-03-01,11690.0,9597.0,2093.0,0.18,418.0,3.0,467.0,2041.0,0.33,1371.0,449.24,0.22
2019-03-01,12085.0,9931.0,2154.0,0.18,600.0,13.0,402.0,2339.0,0.32,1598.0,541.91,0.19
2020-03-01,9842.0,8358.0,1483.0,0.15,-105.0,10.0,383.0,985.0,0.34,650.0,220.22,0.48
2021-03-01,9716.0,8555.0,1162.0,0.12,-241.0,14.0,341.0,565.0,0.15,482.0,163.43,0.7
2022-03-01,11782.0,10325.0,1457.0,0.12,396.0,29.0,324.0,1500.0,0.19,1218.0,413.07,0.51
2023-03-01,14929.0,13120.0,1810.0,0.12,470.0,12.0,386.0,1882.0,0.24,1426.0,483.33,0.99
2024-03-01,16727.0,14632.0,2095.0,0.13,1566.0,51.0,430.0,3181.0,0.22,2491.0,844.69,0.44
2025-03-01,18087.0,15778.0,2310.0,0.13,815.0,17.0,376.0,2732.0,0.26,2015.0,683.27,0.75
TTM,19380.0,16864.0,2516.0,0.13,1490.0,19.0,375.0,3612.0,0.0,2757.0,934.68,0.0
