date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,8476.0,4233.0,2244.0,1999.0,0.24,4.0,33.0,1970.0,0.31,1358.0,10.73,0.12
2015-03-01,9177.0,4706.0,2781.0,1691.0,0.18,2.0,43.0,1650.0,0.38,1028.0,8.13,0.22
2016-03-01,10359.0,5088.0,3447.0,1824.0,0.18,3.0,38.0,1789.0,0.34,1184.0,9.35,0.19
2017-03-01,10903.0,5219.0,3712.0,1972.0,0.18,1.0,35.0,1938.0,0.35,1266.0,10.0,0.07
2018-03-01,13502.0,6409.0,3288.0,3805.0,0.28,127.0,37.0,3896.0,0.35,2549.0,20.14,0.1
2019-03-01,15536.0,7564.0,4171.0,3801.0,0.24,20.0,43.0,3778.0,0.32,2576.0,20.36,0.11
2020-03-01,16561.0,8313.0,4683.0,3565.0,0.22,14.0,141.0,3439.0,0.27,2512.0,19.86,0.05
2021-03-01,17422.0,9089.0,4932.0,3402.0,0.2,14.0,137.0,3278.0,0.24,2499.0,17.71,0.18
2022-03-01,19255.0,9773.0,5816.0,3666.0,0.19,18.0,135.0,3549.0,0.24,2721.0,20.12,0.2
2023-03-01,30492.0,12987.0,8706.0,8799.0,0.29,16.0,601.0,8214.0,0.27,6020.0,32.11,0.22
2024-03-01,34973.0,14868.0,9877.0,10228.0,0.29,225.0,569.0,9884.0,0.25,7399.0,39.2,0.23
2025-03-01,43941.0,18529.0,12279.0,13132.0,0.3,157.0,645.0,12644.0,0.24,9576.0,50.81,0.19
TTM,47074.0,21409.0,12862.0,12803.0,0.27,47.0,695.0,12155.0,0.0,9147.0,48.63,0.0
