date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.36210000000000003,0.3669,0.1313,0.0022,0.13699999999999998,0.0006,506079.0
2018-03-01,0.36,0.3899,0.1245,0.0022,0.12300000000000001,0.0004,430963.0
2019-03-01,0.35869999999999996,0.3881,0.1166,0.0017000000000000001,0.1349,0.0001,483774.0
2020-03-01,0.35850000000000004,0.3967,0.132,0.0017000000000000001,0.11109999999999999,0.0001,455664.0
2021-03-01,0.3576,0.3832,0.1439,0.0017000000000000001,0.11359999999999999,0.0001,530921.0
2022-03-01,0.35259999999999997,0.3427,0.1805,0.0017000000000000001,0.1225,0.0,731453.0
2023-03-01,0.3517,0.2687,0.2568,0.0017000000000000001,0.1207,0.0,936534.0
2024-03-01,0.3508,0.2415,0.2942,0.0017000000000000001,0.1116,0.0,848484.0
2025-03-01,0.35,0.22949999999999998,0.32130000000000003,0.0017000000000000001,0.0974,0.0,761701.0
2025-12-01,0.3497,0.1794,0.3779,0.0017000000000000001,0.09140000000000001,0.0,739883.0
