date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.6222,0.09480000000000001,0.1875,0.0004,0.0951,1518711.0
2018-03-01,0.5886,0.1116,0.22260000000000002,0.0003,0.0768,1573070.0
2019-03-01,0.5792,0.0987,0.24480000000000002,0.0005,0.0768,1455377.0
2020-03-01,0.5763,0.0959,0.2455,0.0011,0.0812,2446100.0
2021-03-01,0.5763,0.09939999999999999,0.244,0.002,0.0783,2686848.0
2022-03-01,0.5759000000000001,0.09970000000000001,0.2466,0.0015,0.07629999999999999,2982372.0
2023-03-01,0.5749,0.0989,0.252,0.0003,0.07400000000000001,2993298.0
2024-03-01,0.5754,0.1109,0.2396,0.0003,0.0737,3150350.0
2025-03-01,0.5743,0.09939999999999999,0.2492,0.0014000000000000002,0.0754,3826549.0
2025-12-01,0.555,0.10339999999999999,0.2704,0.0013,0.0697,3567461.0
