date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2016-02-01,0.3261,0.0,0.4244,0.0,0.2495,33504.0
2017-03-01,0.3261,0.26739999999999997,0.1202,0.0,0.2863,39921.0
2018-03-01,0.3261,0.2425,0.147,0.0,0.2843,45237.0
2019-03-01,0.3261,0.22190000000000001,0.16899999999999998,0.0,0.2829,45507.0
2020-03-01,0.3701,0.2118,0.1559,0.0,0.2622,66124.0
2021-03-01,0.3701,0.299,0.1027,0.0,0.22829999999999998,84450.0
2022-03-01,0.3701,0.2832,0.1343,0.0,0.21239999999999998,112460.0
2023-03-01,0.3701,0.2443,0.161,0.0,0.2245,136168.0
2024-03-01,0.3701,0.2681,0.1389,0.0,0.2229,215715.0
2025-03-01,0.3701,0.19649999999999998,0.172,0.0004,0.2608,405274.0
2025-12-01,0.3701,0.1562,0.2137,0.0013,0.2587,507525.0
