date,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.17600000000000002,0.39289999999999997,0.002,0.429,923628.0
2018-03-01,0.1882,0.3912,0.0022,0.41840000000000005,899902.0
2019-03-01,0.19,0.3857,0.0026,0.4217,1021275.0
2020-03-01,0.16899999999999998,0.3799,0.0038,0.4472,1251569.0
2021-03-01,0.2202,0.3319,0.005,0.4429,1371535.0
2022-03-01,0.2242,0.33490000000000003,0.0023,0.4386,1492124.0
2023-03-01,0.24480000000000002,0.3864,0.0023,0.3665,1425064.0
2024-03-01,0.24359999999999998,0.38079999999999997,0.0023,0.37329999999999997,1564085.0
2025-03-01,0.198,0.42710000000000004,0.0024,0.3725,1706264.0
2025-12-01,0.2006,0.4299,0.0024,0.3669,1630031.0
