date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.30269999999999997,0.45899999999999996,0.1153,0.0021,0.1209,63423.0
2018-03-01,0.2772,0.4697,0.1025,0.0019,0.1487,96718.0
2019-03-01,0.2789,0.4279,0.0911,0.0034999999999999996,0.1986,83271.0
2020-03-01,0.2788,0.4191,0.12279999999999999,0.0031,0.17620000000000002,117424.0
2021-03-01,0.2812,0.3782,0.1586,0.001,0.18109999999999998,175437.0
2022-03-01,0.2862,0.3529,0.17809999999999998,0.0,0.18289999999999998,240012.0
2023-03-01,0.3251,0.38689999999999997,0.1439,0.0,0.1437,253548.0
2024-03-01,0.3251,0.33640000000000003,0.1533,0.0,0.18510000000000001,483514.0
2025-03-01,0.335,0.3422,0.1856,0.0,0.13720000000000002,323800.0
2025-12-01,0.33490000000000003,0.3884,0.1671,0.0001,0.1094,268604.0
