date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.4632,0.22579999999999997,0.1185,0.0014000000000000002,0.1912,2501302.0
2018-03-01,0.47450000000000003,0.2446,0.11230000000000001,0.0015,0.1672,2266000.0
2019-03-01,0.4727,0.2439,0.1186,0.0018,0.1629,2211231.0
2020-03-01,0.5007,0.2408,0.1378,0.002,0.11869999999999999,2632168.0
2021-03-01,0.5058,0.2566,0.12619999999999998,0.002,0.1094,3031272.0
2022-03-01,0.5065999999999999,0.24230000000000002,0.1423,0.0017000000000000001,0.10710000000000001,3327847.0
2023-03-01,0.5041,0.2249,0.1606,0.0016,0.10890000000000001,3639396.0
2024-03-01,0.5031,0.2206,0.1698,0.0019,0.10460000000000001,3463276.0
2025-03-01,0.501,0.1907,0.1936,0.0017000000000000001,0.11289999999999999,4765728.0
2025-12-01,0.5,0.1909,0.201,0.0017000000000000001,0.10640000000000001,4206159.0
