date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.5073,0.1485,0.1282,0.0,0.21600000000000003,80074.0
2018-03-01,0.507,0.1705,0.1263,0.0,0.1962,79171.0
2019-03-01,0.5065999999999999,0.1575,0.12369999999999999,0.0,0.2122,134887.0
2020-03-01,0.5063,0.1471,0.1338,0.0,0.21280000000000002,183396.0
2021-03-01,0.5055,0.1796,0.11230000000000001,0.0,0.2026,291266.0
2022-03-01,0.5055,0.17170000000000002,0.0794,0.0,0.24350000000000002,329940.0
2023-03-01,0.5055,0.19440000000000002,0.1422,0.0,0.15789999999999998,260207.0
2024-03-01,0.5055,0.18230000000000002,0.1563,0.0,0.1557,263623.0
2025-03-01,0.5055,0.1572,0.1826,0.0,0.1548,292504.0
2025-12-01,0.5055,0.14880000000000002,0.1955,0.0003,0.1497,255939.0
