date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.5621,0.2455,0.12269999999999999,0.0,0.0698,175076.0
2018-03-01,0.5621,0.2519,0.11460000000000001,0.0,0.07150000000000001,283738.0
2019-03-01,0.5621,0.223,0.1341,0.0,0.0809,438699.0
2020-03-01,0.5628,0.2163,0.16690000000000002,0.0,0.054000000000000006,406100.0
2021-03-01,0.5637,0.2311,0.1508,0.0,0.054400000000000004,461379.0
2022-03-01,0.5637,0.2257,0.1625,0.0,0.0481,431889.0
2023-03-01,0.5648,0.21109999999999998,0.1857,0.0006,0.0378,415127.0
2024-03-01,0.5819,0.19640000000000002,0.1886,0.0006,0.032400000000000005,364375.0
2025-03-01,0.5828,0.1496,0.23559999999999998,0.0008,0.031200000000000002,378893.0
2025-12-01,0.5828,0.1576,0.2284,0.0008,0.0304,366153.0
