date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.26,0.4213,0.1294,0.0013,0.188,463568.0
2018-03-01,0.256,0.4043,0.1497,0.0013,0.1887,510377.0
2019-03-01,0.265,0.3871,0.1641,0.002,0.1819,589930.0
2020-03-01,0.2614,0.3668,0.21739999999999998,0.0023,0.1521,1286083.0
2021-03-01,0.2597,0.3979,0.20989999999999998,0.0024,0.1301,1375294.0
2022-03-01,0.25780000000000003,0.35619999999999996,0.2455,0.0016,0.1389,2151630.0
2023-03-01,0.2559,0.3224,0.2809,0.0016,0.1391,2290092.0
2024-03-01,0.0,0.4783,0.3333,0.0018,0.1864,4121815.0
2025-03-01,0.0,0.483,0.3568,0.0018,0.15839999999999999,3829146.0
2025-12-01,0.0,0.4767,0.37,0.0018,0.15109999999999998,3650087.0
