date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.41619999999999996,0.19949999999999998,0.16390000000000002,0.0051,0.20929999999999999,0.0059,712410.0
2018-03-01,0.4175,0.1986,0.1778,0.0051,0.19649999999999998,0.0045000000000000005,598406.0
2019-03-01,0.4266,0.1858,0.0287,0.0051,0.34740000000000004,0.0064,590514.0
2020-03-01,0.42710000000000004,0.17129999999999998,0.043899999999999995,0.0051,0.3465,0.0060999999999999995,601150.0
2021-03-01,0.4407,0.12689999999999999,0.0711,0.0051,0.3515,0.004699999999999999,563121.0
2022-03-01,0.4501,0.1158,0.0794,0.0051,0.3465,0.0031,659879.0
2023-03-01,0.45409999999999995,0.2601,0.0947,0.0051,0.1807,0.0053,605019.0
2024-03-01,0.4481,0.2606,0.0981,0.0051,0.1844,0.0037,671779.0
2025-03-01,0.4484,0.25780000000000003,0.1052,0.0051,0.1816,0.002,621932.0
2025-12-01,0.4531,0.25379999999999997,0.1106,0.0051,0.17559999999999998,0.002,605301.0
