date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.168,0.486,0.138,0.0,0.20809999999999998,117797.0
2018-03-01,0.1677,0.5206000000000001,0.1117,0.0,0.2,125987.0
2019-03-01,0.168,0.5353,0.0975,0.0,0.19920000000000002,151950.0
2020-03-01,0.1434,0.5357999999999999,0.155,0.0,0.16579999999999998,302853.0
2021-03-01,0.1655,0.5091,0.18109999999999998,0.0,0.14429999999999998,420350.0
2022-03-01,0.16519999999999999,0.4633,0.21850000000000003,0.0,0.153,443112.0
2023-03-01,0.165,0.4216,0.26539999999999997,0.0037,0.1445,378303.0
2024-03-01,0.16399999999999998,0.4025,0.2809,0.0037,0.149,398181.0
2025-03-01,0.1583,0.2953,0.3632,0.0038,0.1794,771743.0
2025-12-01,0.1582,0.316,0.35,0.0038,0.172,649084.0
