date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.34700000000000003,0.2751,0.1776,0.0002,0.2002,0.0,319787.0
2018-03-01,0.3467,0.2809,0.1911,0.0002,0.18109999999999998,0.0,299521.0
2019-03-01,0.34659999999999996,0.2369,0.2224,0.0012,0.1909,0.002,304345.0
2020-03-01,0.3465,0.1868,0.2627,0.0040999999999999995,0.1972,0.0026,332014.0
2021-03-01,0.3464,0.25,0.20809999999999998,0.0001,0.1928,0.0026,348471.0
2022-03-01,0.3465,0.28850000000000003,0.19219999999999998,0.0001,0.1696,0.0031,503729.0
2023-03-01,0.3465,0.2608,0.262,0.0022,0.1244,0.0040999999999999995,676110.0
2024-03-01,0.3465,0.2682,0.2564,0.0034999999999999996,0.1208,0.0046,641541.0
2025-03-01,0.3465,0.2815,0.2468,0.0034999999999999996,0.11710000000000001,0.004699999999999999,681098.0
2025-12-01,0.3465,0.2816,0.23170000000000002,0.0034999999999999996,0.1316,0.0051,679190.0
