date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.5207,0.1722,0.142,0.0,0.16510000000000002,122883.0
2018-03-01,0.5205,0.1841,0.1577,0.0,0.1377,80767.0
2019-03-01,0.5201,0.2121,0.1422,0.0,0.12560000000000002,77977.0
2020-03-01,0.5196999999999999,0.19079999999999997,0.1559,0.0,0.1335,95934.0
2021-03-01,0.5195000000000001,0.19870000000000002,0.1674,0.0,0.11449999999999999,208203.0
2022-03-01,0.5194,0.1845,0.1832,0.0,0.1128,309397.0
2023-03-01,0.5194,0.1467,0.21,0.0007000000000000001,0.1231,433621.0
2024-03-01,0.5192,0.14679999999999999,0.221,0.001,0.1119,347629.0
2025-03-01,0.5189,0.1801,0.20629999999999998,0.0009,0.09390000000000001,267755.0
2025-12-01,0.5188,0.20079999999999998,0.1918,0.0009,0.0875,233844.0
