date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.5493,0.2253,0.0674,0.0086,0.1493,0.0,125579.0
2018-03-01,0.5431,0.1981,0.1003,0.0086,0.1499,0.0,156443.0
2019-03-01,0.5329,0.1564,0.1532,0.0086,0.14880000000000002,0.0,178718.0
2020-03-01,0.5297999999999999,0.12279999999999999,0.1961,0.0086,0.1427,0.0,223139.0
2021-03-01,0.5297999999999999,0.1242,0.23309999999999997,0.0086,0.0843,0.02,468377.0
2022-03-01,0.5297999999999999,0.1369,0.1985,0.0086,0.1231,0.0032,930486.0
2023-03-01,0.5297999999999999,0.1257,0.2259,0.009399999999999999,0.1061,0.0032,858136.0
2024-03-01,0.5297999999999999,0.1679,0.213,0.009399999999999999,0.08,0.0,723571.0
2025-03-01,0.5297999999999999,0.1458,0.2223,0.009399999999999999,0.0926,0.0,1193412.0
2025-12-01,0.5297999999999999,0.18460000000000001,0.1956,0.0043,0.0858,0.0,987767.0
