date,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.46909999999999996,0.4143,0.0025,0.11410000000000001,938826.0
2018-03-01,0.48100000000000004,0.4156,0.0022,0.1012,855495.0
2019-03-01,0.4305,0.45409999999999995,0.0033,0.1121,821548.0
2020-03-01,0.43729999999999997,0.4458,0.0039000000000000003,0.1131,1101300.0
2021-03-01,0.4781,0.41700000000000004,0.0043,0.10060000000000001,1378360.0
2022-03-01,0.4395,0.4458,0.0024,0.11230000000000001,1879722.0
2023-03-01,0.4416,0.4511,0.0024,0.1048,1833994.0
2024-03-01,0.44770000000000004,0.451,0.0028000000000000004,0.0984,1785572.0
2025-03-01,0.4583,0.44770000000000004,0.0027,0.09119999999999999,1902503.0
2025-12-01,0.4387,0.46740000000000004,0.0027,0.0913,2139595.0
