date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.6973999999999999,0.1043,0.1702,0.0,0.0281,631312.0
2018-03-01,0.6227,0.1152,0.22820000000000001,0.0001,0.0337,566377.0
2019-03-01,0.5609000000000001,0.1148,0.2873,0.0032,0.0338,561689.0
2020-03-01,0.5102,0.1264,0.3346,0.001,0.0278,605244.0
2021-03-01,0.511,0.11939999999999999,0.3393,0.0014000000000000002,0.028900000000000002,779609.0
2022-03-01,0.511,0.1474,0.30760000000000004,0.0017000000000000001,0.0323,972465.0
2023-03-01,0.511,0.1561,0.30510000000000004,0.001,0.0269,983606.0
2024-03-01,0.511,0.17859999999999998,0.2755,0.0011,0.0337,1393480.0
2025-03-01,0.511,0.1779,0.2722,0.0011,0.0377,4143175.0
2025-12-01,0.511,0.1624,0.2919,0.0012,0.0334,3543434.0
