date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.7886,0.0646,0.1167,0.0,0.0301,672124.0
2018-03-01,0.7855,0.0548,0.1286,0.0,0.0311,629145.0
2019-03-01,0.7095999999999999,0.0713,0.18960000000000002,0.0,0.029500000000000002,656584.0
2020-03-01,0.6613,0.08199999999999999,0.22,0.0007000000000000001,0.0359,739029.0
2021-03-01,0.6613,0.065,0.21850000000000003,0.0007000000000000001,0.0545,1002342.0
2022-03-01,0.6613,0.0694,0.21760000000000002,0.0009,0.0507,1244087.0
2023-03-01,0.6613,0.0784,0.21050000000000002,0.0009,0.049,1324238.0
2024-03-01,0.6313,0.08410000000000001,0.2318,0.0011,0.0516,1575608.0
2025-03-01,0.6313,0.0774,0.2335,0.0011,0.056799999999999996,2279035.0
2025-12-01,0.6313,0.08220000000000001,0.2253,0.0013,0.059800000000000006,2795663.0
